match_id,season,competition,player,position_id,position,from_time,to_time,from_period,to_period,start_reason,end_reason
303666,2019/2020,La Liga,Nélson Cabral Semedo,6,Left Back,45:20,,2,,Tactical Shift,Final Whistle
303666,2019/2020,La Liga,Nélson Cabral Semedo,2,Right Back,00:00,45:20,1,2,Starting XI,Tactical Shift
3773526,2020/2021,La Liga,Borja Sainz Eguskiza,24,Left Center Forward,80:25,,2,,Substitution - On (Tactical),Final Whistle
3773565,2020/2021,La Liga,Pedro González López,15,Left Center Midfield,00:00,71:49,1,2,Starting XI,Substitution - Off (Tactical)
3749493,2003/2004,Premier League,Thomas Gravesen,15,Left Center Midfield,00:00,67:08,1,2,Starting XI,Tactical Shift
303666,2019/2020,La Liga,Sergi Roberto Carnicer,2,Right Back,45:20,,2,,Tactical Shift,Final Whistle
3749493,2003/2004,Premier League,Thomas Gravesen,19,Center Attacking Midfield,67:08,,2,,Tactical Shift,Final Whistle
303666,2019/2020,La Liga,Sergi Roberto Carnicer,13,Right Center Midfield,00:00,45:20,1,2,Starting XI,Tactical Shift
3749493,2003/2004,Premier League,Tobias Linderoth,13,Right Center Midfield,00:00,56:33,1,2,Starting XI,Substitution - Off (Tactical)
303666,2019/2020,La Liga,Clément Lenglet,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
303666,2019/2020,La Liga,Frenkie de Jong,13,Right Center Midfield,45:20,,2,,Tactical Shift,Final Whistle
3773565,2020/2021,La Liga,Óscar Mingueza García,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
303666,2019/2020,La Liga,Frenkie de Jong,10,Center Defensive Midfield,00:00,45:20,1,2,Starting XI,Tactical Shift
3749493,2003/2004,Premier League,Steve Watson,12,Right Midfield,00:00,67:08,1,2,Starting XI,Tactical Shift
3773457,2020/2021,La Liga,Martin Braithwaite Christensen,22,Right Center Forward,69:42,,2,,Substitution - On (Tactical),Final Whistle
3749493,2003/2004,Premier League,Steve Watson,13,Right Center Midfield,67:08,,2,,Tactical Shift,Final Whistle
3773526,2020/2021,La Liga,Sergio Busquets i Burgos,10,Center Defensive Midfield,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
303666,2019/2020,La Liga,Arturo Erasmo Vidal Pardo,15,Left Center Midfield,61:46,,2,,Substitution - On (Tactical),Final Whistle
16182,2018/2019,La Liga,Philippe Coutinho Correia,21,Left Wing,69:23,,2,,Substitution - On (Tactical),Final Whistle
3749493,2003/2004,Premier League,Richard Wright,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Ousmane Dembélé,21,Left Wing,80:27,,2,,Substitution - On (Tactical),Final Whistle
16182,2018/2019,La Liga,Sergio Busquets i Burgos,10,Center Defensive Midfield,00:00,,1,,Starting XI,Final Whistle
303666,2019/2020,La Liga,Héctor Junior Firpo Adames,6,Left Back,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
3749493,2003/2004,Premier League,David Unsworth,6,Left Back,00:00,67:07,1,2,Starting XI,Substitution - Off (Tactical)
3773526,2020/2021,La Liga,Antoine Griezmann,21,Left Wing,00:00,80:27,1,2,Starting XI,Substitution - Off (Tactical)
16182,2018/2019,La Liga,Jordi Alba Ramos,6,Left Back,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Samuel Yves Umtiti,10,Center Defensive Midfield,45:00,,2,,Substitution - On (Tactical),Final Whistle
303666,2019/2020,La Liga,Marc-André ter Stegen,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Samuel Yves Umtiti,5,Left Center Back,45:00,45:00,2,2,Tactical Shift,Substitution - On (Tactical)
16182,2018/2019,La Liga,Gerard Piqué Bernabéu,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
3749493,2003/2004,Premier League,Gary Naysmith,16,Left Midfield,66:53,67:08,2,2,Substitution - On (Tactical),Tactical Shift
303666,2019/2020,La Liga,Carles Pérez Sayol,17,Right Wing,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
3749493,2003/2004,Premier League,Gary Naysmith,6,Left Back,67:08,,2,,Tactical Shift,Final Whistle
16182,2018/2019,La Liga,Luis Alberto Suárez Díaz,23,Center Forward,59:20,,2,,Substitution - On (Tactical),Final Whistle
3773526,2020/2021,La Liga,Lionel Andrés Messi Cuccittini,23,Center Forward,00:00,,1,,Starting XI,Final Whistle
303666,2019/2020,La Liga,Anssumane Fati,21,Left Wing,45:20,,2,,Tactical Shift,Final Whistle
303666,2019/2020,La Liga,Anssumane Fati,6,Left Back,45:00,45:20,2,2,Substitution - On (Tactical),Tactical Shift
16182,2018/2019,La Liga,Ivan Rakitić,13,Right Center Midfield,75:11,,2,,Substitution - On (Tactical),Final Whistle
3749493,2003/2004,Premier League,Nick Chadwick,24,Left Center Forward,00:00,67:08,1,2,Starting XI,Tactical Shift
3773526,2020/2021,La Liga,Clément Lenglet,3,Right Center Back,45:00,,2,,Tactical Shift,Final Whistle
3749493,2003/2004,Premier League,Nick Chadwick,23,Center Forward,67:08,,2,,Tactical Shift,Final Whistle
3773526,2020/2021,La Liga,Clément Lenglet,5,Left Center Back,00:00,45:00,1,2,Starting XI,Tactical Shift
303666,2019/2020,La Liga,Maxime Gonalons,9,Right Defensive Midfield,82:48,,2,,Substitution - On (Tactical),Final Whistle
16182,2018/2019,La Liga,Ousmane Dembélé,21,Left Wing,00:00,69:23,1,2,Starting XI,Substitution - Off (Tactical)
303666,2019/2020,La Liga,Carlos Fernández Luna,23,Center Forward,56:59,,2,,Substitution - On (Injury),Final Whistle
16182,2018/2019,La Liga,Lionel Andrés Messi Cuccittini,17,Right Wing,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Miralem Pjanić,10,Center Defensive Midfield,71:25,,2,,Substitution - On (Tactical),Final Whistle
3749493,2003/2004,Premier League,Alessandro Pistone,2,Right Back,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Frenkie de Jong,10,Center Defensive Midfield,45:00,71:25,2,2,Tactical Shift,Substitution - Off (Tactical)
3773526,2020/2021,La Liga,Frenkie de Jong,3,Right Center Back,00:00,45:00,1,2,Starting XI,Tactical Shift
303666,2019/2020,La Liga,Darwin Daniel Machís Marcano,21,Left Wing,00:00,61:28,1,2,Starting XI,Substitution - Off (Tactical)
16182,2018/2019,La Liga,Thomas Vermaelen,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
303666,2019/2020,La Liga,Yangel Clemente Herrera Ravelo,9,Right Defensive Midfield,00:00,82:48,1,2,Starting XI,Substitution - Off (Tactical)
3749493,2003/2004,Premier League,Alan Stubbs,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Héctor Junior Firpo Adames,6,Left Back,00:00,,1,,Starting XI,Final Whistle
16182,2018/2019,La Liga,Sergi Roberto Carnicer,2,Right Back,00:00,,1,,Starting XI,Final Whistle
3773526,2020/2021,La Liga,Marc-André ter Stegen,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3749528,2003/2004,Premier League,Titus Malachi Bramble,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
3749528,2003/2004,Premier League,Alan Shearer,24,Left Center Forward,00:00,,1,,Starting XI,Final Whistle
3749528,2003/2004,Premier League,Shola Ameobi,13,Right Center Midfield,88:57,,2,,Substitution - On (Tactical),Final Whistle
3749528,2003/2004,Premier League,Olivier Bernard,6,Left Back,00:00,,1,,Starting XI,Final Whistle
3773585,2020/2021,La Liga,Philippe Coutinho Correia,16,Left Midfield,00:00,89:15,1,2,Starting XI,Tactical Shift
3749528,2003/2004,Premier League,Jermaine Jenas,13,Right Center Midfield,00:00,88:57,1,2,Starting XI,Substitution - Off (Tactical)
15946,2018/2019,La Liga,Philippe Coutinho Correia,2,Right Back,45:00,76:14,2,2,Substitution - On (Tactical),Tactical Shift
15946,2018/2019,La Liga,Philippe Coutinho Correia,15,Left Center Midfield,45:00,45:00,2,2,Tactical Shift,Substitution - On (Tactical)
15946,2018/2019,La Liga,Philippe Coutinho Correia,21,Left Wing,76:14,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Sergio Busquets i Burgos,10,Center Defensive Midfield,45:00,84:13,2,2,Tactical Shift,Substitution - Off (Tactical)
15946,2018/2019,La Liga,Sergio Busquets i Burgos,9,Right Defensive Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,2018/2019,La Liga,Jordi Alba Ramos,6,Left Back,00:00,,1,,Starting XI,Final Whistle
15946,2018/2019,La Liga,Gerard Piqué Bernabéu,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
15946,2018/2019,La Liga,Luis Alberto Suárez Díaz,23,Center Forward,45:00,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Luis Alberto Suárez Díaz,22,Right Center Forward,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,2018/2019,La Liga,Ivan Rakitić,13,Right Center Midfield,45:00,84:15,2,2,Tactical Shift,Tactical Shift
15946,2018/2019,La Liga,Ivan Rakitić,11,Left Defensive Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,2018/2019,La Liga,Ivan Rakitić,10,Center Defensive Midfield,84:15,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Ousmane Dembélé,21,Left Wing,45:00,76:12,2,2,Tactical Shift,Substitution - Off (Tactical)
15946,2018/2019,La Liga,Ousmane Dembélé,16,Left Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,2018/2019,La Liga,Samuel Yves Umtiti,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
15946,2018/2019,La Liga,Lionel Andrés Messi Cuccittini,17,Right Wing,45:00,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Lionel Andrés Messi Cuccittini,24,Left Center Forward,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,2018/2019,La Liga,Nélson Cabral Semedo,2,Right Back,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
15946,2018/2019,La Liga,Sergi Roberto Carnicer,2,Right Back,45:00,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Sergi Roberto Carnicer,12,Right Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,2018/2019,La Liga,Arturo Erasmo Vidal Pardo,13,Right Center Midfield,84:15,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Arturo Erasmo Vidal Pardo,10,Center Defensive Midfield,84:13,84:15,2,2,Substitution - On (Tactical),Tactical Shift
15946,2018/2019,La Liga,Arthur Henrique Ramos de Oliveira Melo,15,Left Center Midfield,76:14,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Arthur Henrique Ramos de Oliveira Melo,21,Left Wing,76:12,76:14,2,2,Substitution - On (Tactical),Tactical Shift
15946,2018/2019,La Liga,Marc-André ter Stegen,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
15946,2018/2019,La Liga,Borja González Tomás,22,Right Center Forward,67:53,,2,,Tactical Shift,Final Whistle
15946,2018/2019,La Liga,Borja González Tomás,16,Left Midfield,67:52,67:53,2,2,Substitution - On (Tactical),Tactical Shift
15946,2018/2019,La Liga,Jonathan Rodríguez Menéndez,16,Left Midfield,00:00,67:52,1,2,Starting XI,Substitution - Off (Tactical)
15946,2018/2019,La Liga,Rubén Duarte Sánchez,6,Left Back,00:00,,1,,Starting XI,Final Whistle
3749526,2003/2004,Premier League,Gilberto Aparecido da Silva,11,Left Defensive Midfield,73:00,,2,,Tactical Shift,Final Whistle
3749526,2003/2004,Premier League,Gilberto Aparecido da Silva,9,Right Defensive Midfield,00:00,73:00,1,2,Starting XI,Tactical Shift
303493,2019/2020,La Liga,Antoine Griezmann,21,Left Wing,00:00,64:11,1,2,Starting XI,Substitution - Off (Tactical)
3749526,2003/2004,Premier League,Laureano Bisan-Etame Mayer,2,Right Back,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Lionel Andrés Messi Cuccittini,17,Right Wing,00:00,,1,,Starting XI,Final Whistle
3749526,2003/2004,Premier League,Radostin Kishishev,2,Right Back,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Nélson Cabral Semedo,2,Right Back,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Clément Lenglet,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
3749526,2003/2004,Premier League,Claus Jensen,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Arturo Erasmo Vidal Pardo,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle
3749526,2003/2004,Premier League,Scott Parker,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Arthur Henrique Ramos de Oliveira Melo,13,Right Center Midfield,00:00,55:13,1,2,Starting XI,Substitution - Off (Tactical)
3749526,2003/2004,Premier League,Jamal Julian Campbell-Ryce,24,Left Center Forward,75:50,,2,,Substitution - On (Tactical),Final Whistle
303493,2019/2020,La Liga,Marc-André ter Stegen,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Ricard Puig Martí,13,Right Center Midfield,55:13,,2,,Substitution - On (Tactical),Final Whistle
3749526,2003/2004,Premier League,Jason Joseph Euell,22,Right Center Forward,46:11,,1,,Substitution - On (Injury),Final Whistle
303493,2019/2020,La Liga,Anssumane Fati,21,Left Wing,64:11,,2,,Substitution - On (Tactical),Final Whistle
3749526,2003/2004,Premier League,Paolo Di Canio,22,Right Center Forward,00:00,46:11,1,1,Starting XI,Substitution - Off (Injury)
3749526,2003/2004,Premier League,Graham Stuart,16,Left Midfield,00:00,,1,,Starting XI,Final Whistle
3749526,2003/2004,Premier League,Hermann Hreidarsson,6,Left Back,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Iñigo Córdoba Kerejeta,21,Left Wing,00:00,56:55,1,2,Starting XI,Substitution - Off (Tactical)
3749526,2003/2004,Premier League,Dean Kiely,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Raúl García Escudero,19,Center Attacking Midfield,77:56,,2,,Substitution - On (Tactical),Final Whistle
3749526,2003/2004,Premier League,Matt Holland,12,Right Midfield,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Íñigo Lekue Martínez,17,Right Wing,00:00,68:58,1,2,Starting XI,Substitution - Off (Tactical)
303493,2019/2020,La Liga,Iñaki Williams Arthuer,23,Center Forward,00:00,68:59,1,2,Starting XI,Substitution - Off (Tactical)
3749526,2003/2004,Premier League,Mark Fish,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
303493,2019/2020,La Liga,Unai Núñez Gestoso,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
3749526,2003/2004,Premier League,Chris Perry,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
